Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
FALKLAND ISLANDS (MALVINAS),2020,11,,12,,3,,,5,5,,,,,4,,,,,,,,,3,SOUTH AND CENTRAL AMERICA
FRENCH GUIANA,2020,9,,,,,,,,,,,,,,,,,,,,,9,,SOUTH AND CENTRAL AMERICA
GRENADA,2020,79,,77,,39,,3,24,24,,,,,6,4,1,,7,,7,,,1,SOUTH AND CENTRAL AMERICA
GUADELOUPE,2020,32,,,,,,,,,,,,,,,,,,,,,32,,SOUTH AND CENTRAL AMERICA
GUATEMALA,2020,4446,4359,4365,-6,866,54,830,2320,2317,,,,3,281,,14,,374,332,42,,87,,SOUTH AND CENTRAL AMERICA
GUYANA,2020,724,683,682,1,241,,32,230,230,,,,,21,149,9,,4,,4,,41,1,SOUTH AND CENTRAL AMERICA
HAITI,2020,685,654,830,-176,224,,159,376,376,,,,,70,,1,,19,,19,,31,,SOUTH AND CENTRAL AMERICA
HONDURAS,2020,2579,2427,2379,48,864,,229,1071,1030,,23,3,15,98,26,91,,,,,,152,,SOUTH AND CENTRAL AMERICA
JAMAICA,2020,1756,1660,1716,-56,549,42,327,699,575,,3,121,,65,,20,14,119,59,60,,96,1,SOUTH AND CENTRAL AMERICA
MARTINIQUE,2020,15,,,,,,,,,,,,,,,,,,,,,15,,SOUTH AND CENTRAL AMERICA
MONTSERRAT,2020,6,,6,,3,,,3,3,,,,,,,,,1,1,,,,1,SOUTH AND CENTRAL AMERICA
NICARAGUA,2020,1294,1242,1178,64,224,28,158,582,532,,1,49,,48,12,126,,5,,5,,52,,SOUTH AND CENTRAL AMERICA
PANAMA,2020,2815,2738,2704,34,963,,388,1078,1069,,8,,1,197,8,70,,3959,3732,227,,77,1,SOUTH AND CENTRAL AMERICA
PANAMA,2020,2815,2738,2704,34,963,,388,1078,1069,,8,,1,197,8,70,,3959,3732,227,,77,1,SOUTH AND CENTRAL AMERICA
PARAGUAY,2020,2040,1937,2141,-204,1,,44,2031,2028,,3,,,,,,65,21,,21,,103,,SOUTH AND CENTRAL AMERICA
PERU,2020,12679,11742,11269,473,2252,574,1701,5535,5357,20,117,41,,794,82,292,,416,201,215,39,937,,SOUTH AND CENTRAL AMERICA
PLURINATIONAL STATE OF BOLIVIA,2020,5006,4677,4600,77,843,250,494,2320,2274,,46,,,464,150,34,,22,,22,45,329,,SOUTH AND CENTRAL AMERICA
SAINT LUCIA,2020,132,,131,,61,,3,57,54,,2,1,,6,2,2,,24,2,22,,,1,SOUTH AND CENTRAL AMERICA
SAINT MARTIN (DUTCH PORTION),2020,178,,178,,49,,38,89,64,,,25,,2,,,,186,150,36,,,4,SOUTH AND CENTRAL AMERICA
ST. KITTS-NEVIS,2020,63,,63,,39,,1,19,19,,,,,2,,2,,4,,4,,,1,SOUTH AND CENTRAL AMERICA
ST. VINCENT & THE GRENADINES,2020,67,,68,,26,,,34,26,,,,8,8,,,,,,,,,1,SOUTH AND CENTRAL AMERICA
SURINAME,2020,797,792,660,132,232,13,17,151,59,,4,,88,18,80,5,143,59,31,28,1,5,1,SOUTH AND CENTRAL AMERICA
TRINIDAD AND TOBAGO,2020,9456,9391,3949,5442,1290,1482,448,614,577,,37,,,111,,4,,136,67,69,,65,6,SOUTH AND CENTRAL AMERICA
TURKS AND CAICOS ISLANDS,2020,98,,99,,55,,,40,38,,,2,,4,,,,21,,21,,,2,SOUTH AND CENTRAL AMERICA
URUGUAY,2020,1764,1679,1712,-33,141,103,208,1004,993,,3,8,,117,119,20,,120,84,36,,85,1,SOUTH AND CENTRAL AMERICA
VENEZUELA,2020,19615,19464,21327,-1863,1892,3545,2167,5990,5939,,45,,6,446,,167,,102,53,49,7120,151,1,SOUTH AND CENTRAL AMERICA
AFRICA,2020,367980,345002,322882,22120,127791,27284,37429,89326,86104,547,1396,813,466,20696,3735,2710,3291,8597,4540,4057,10620,22978,,WORLD
ASIA PACIFIC,2020,4803801,4499499,3951625,547874,2075763,205463,822679,432001,344823,6433,34296,32233,14216,209691,39239,29137,131443,100213,76118,24095,6209,304302,1,WORLD
COMMONWEALTH OF INDEPENDENT STATES,2020,622837,612467,547929,64538,255394,28529,76554,83240,57366,3368,4202,394,17910,70137,5348,12499,5706,10770,5918,4852,10522,10370,1,WORLD
EUROPE,2020,955413,921693,874256,47437,262209,41861,115193,270775,259394,1496,3587,4663,1635,114156,22457,44252,2446,61238,39891,21347,907,33720,2,WORLD
MIDDLE EAST,2020,591903,568260,514598,53662,190718,38402,89299,103577,100634,49,2634,,260,35734,3389,8721,14067,30546,19188,11358,30691,23643,3,WORLD
NORTH AMERICA,2020,1493350,1475572,1405737,69835,457100,106489,143155,512630,445904,11038,32117,6643,16928,94209,15962,67052,1,28749,14195,14554,9139,17778,3,WORLD
SOUTH AND CENTRAL AMERICA,2020,298043,285579,286702,-1123,55079,19949,47931,121782,115417,962,2708,2003,692,17635,10184,2867,2276,14629,10290,4339,8999,12464,1,WORLD
WORLD,2020,9730000,9304745,8158471,1146274,3424054,467977,1332240,1613331,1409642,23893,80940,46749,52107,562258,100314,167238,159230,254742,170140,84602,77087,425255,2,
ANNEX I,2020,3185051,3125527,2941311,184216,1045299,176125,355615,892858,783692,16534,43051,14413,35168,273190,46191,129681,2436,104902,60820,44082,19916,59524,2,
NON-ANNEX I,2020,5948276,5582545,4962418,620127,2378755,291852,976625,720473,625950,7359,37889,32336,16939,289068,54123,37557,156794,149840,109320,40520,57171,365731,1,
